time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-09-18T05:19:18.359Z,23.1286,121.2723,10,5.6,mww,95,50,0.357,0.74,us,us7000i903,2022-09-21T14:58:34.040Z,"83 km E of Yujing, Taiwan",earthquake,5.29,1.85,0.059,28,reviewed,us,us
2022-09-17T14:45:27.915Z,22.9618,121.1927,10,5.5,mww,51,86,0.618,0.92,us,us7000i8v9,2022-09-20T21:09:22.040Z,"77 km ESE of Yujing, Taiwan",earthquake,4.31,0.44,0.052,35,reviewed,us,us
2022-09-17T14:35:14.181Z,23.112,121.2181,10,5.1,mww,67,98,0.319,1.02,us,us7000i8v0,2022-09-17T21:59:06.940Z,Taiwan,earthquake,5.79,1.851,0.093,11,reviewed,us,us
2022-09-17T13:42:37.585Z,-20.1807,-69.1546,97.749,5.1,mb,36,60,0.039,0.75,us,us7000i8uf,2022-09-18T04:15:53.002Z,"104 km E of Iquique, Chile",earthquake,5.05,5.514,0.041,190,reviewed,us,us
2022-09-17T13:41:17.752Z,23.0962,121.4059,10,6.5,mww,187,37,0.409,0.93,us,us7000i8ui,2022-09-22T07:14:57.979Z,Taiwan,earthquake,4.48,1.543,0.038,67,reviewed,us,us
2022-09-17T06:25:00.640Z,-7.265,105.0794,38.621,5.1,mb,39,130,2.557,0.98,us,us7000i8rv,2022-09-17T06:42:01.040Z,"128 km SW of Labuan, Indonesia",earthquake,7.85,7.697,0.138,17,reviewed,us,us
2022-09-17T05:25:55.818Z,-52.7327,25.7117,10,5.2,mww,38,70,18.03,0.41,us,us7000i8re,2022-09-17T06:13:54.880Z,south of Africa,earthquake,12.01,1.79,0.098,10,reviewed,us,us
2022-09-17T00:06:59.883Z,-30.0626,-177.9149,39.026,5,mww,59,60,0.798,0.51,us,us7000i8py,2022-09-17T21:48:47.040Z,,earthquake,8.12,5.963,0.11,8,reviewed,us,us
2022-09-16T23:58:17.183Z,-22.2394,170.9882,45,5.6,mww,93,36,3.298,0.75,us,us7000i8pw,2022-09-20T21:03:01.040Z,,earthquake,9.47,1.902,0.073,18,reviewed,us,us
2022-09-16T16:18:31.075Z,-5.4355,148.1501,9.591,5.1,mww,59,82,4.064,1.21,us,us7000i8lz,2022-09-17T21:36:30.706Z,"128 km NNE of Finschhafen, Papua New Guinea",earthquake,9.75,4.511,0.075,17,reviewed,us,us
